"","V1","V1","precinct","date","description","latitude","longitude"
"221",572936,2810024,70,2011-05-27,"OFF. AGNST PUB ORD SENSBLTY &",40.64533,-73.9601
"222",679081,2658124,60,2011-02-04,"ADMINISTRATIVE CODE",40.5766,-73.96617
"223",372072,5296683,113,2016-06-11,"ASSAULT 3 & RELATED OFFENSES",40.66766,-73.77881
"224",922089,3796665,43,2013-05-17,"HARRASSMENT 2",40.80825,-73.85345
"225",38767,791607,76,2007-07-02,"PETIT LARCENY",40.678348219,-73.994759365
"226",923923,2613084,110,2010-12-30,"HARRASSMENT 2",40.74006,-73.86723
"227",756631,2645577,42,2011-01-25,"ROBBERY",40.83015,-73.89188
"228",550847,3589891,41,2012-12-08,"ROBBERY",40.82257,-73.88754
"229",225659,3511771,34,2012-10-07,"GRAND LARCENY OF MOTOR VEHICLE",40.86858,-73.91687
"230",97003,4754838,28,2015-05-03,"MISCELLANEOUS PENAL LAW",40.80353,-73.95219
"231",783201,1198811,109,2008-04-04,"PETIT LARCENY",40.78749,-73.7912
"232",476737,3976430,18,2013-09-21,"FORGERY",40.76429,-73.97302
"233",47031,3462332,114,2012-09-03,"INTOXICATED & IMPAIRED DRIVING",40.7704,-73.9177
"234",940289,192550,120,2006-05-18,"GRAND LARCENY",40.625563328,-74.075508394
"235",619691,4082561,76,2013-12-06,"DANGEROUS WEAPONS",40.6853,-73.99301
"236",972921,5592401,121,2017-01-22,"GRAND LARCENY",40.59462,-74.18884
"237",54868,3879853,1,2013-07-16,"PETIT LARCENY",40.71009,-74.01061
"238",755172,1952042,32,2009-09-12,"DANGEROUS DRUGS",40.82061,-73.94355
"239",133048,2080303,108,2009-12-11,"BURGLARY",40.74347,-73.92054
"240",111024,4661288,52,2015-02-17,"OFFENSES AGAINST PUBLIC ADMINI",40.86651,-73.89263
"241",518932,7240226,105,2020-09-08,"FELONY ASSAULT",40.70184,-73.74768
"242",839898,827506,6,2007-07-25,"PETIT LARCENY",40.729870121,-74.006914509
"243",230563,1846770,103,2009-07-02,"HARRASSMENT 2",40.70787,-73.79878
"244",242742,2356021,30,2010-06-30,"HARRASSMENT 2",40.82194,-73.95251
"245",696525,1107433,19,2008-01-30,"PETIT LARCENY",40.7745,-73.95568
"246",447649,1890776,115,2009-08-01,"ASSAULT 3 & RELATED OFFENSES",40.75446,-73.86647
"247",150194,3317682,104,2012-05-26,"DANGEROUS DRUGS",40.70574,-73.89449
"248",129850,4901575,69,2015-08-15,"FELONY ASSAULT",40.63549,-73.88516
"249",194029,7088274,88,2020-04-25,"OFF. AGNST PUB ORD SENSBLTY &",40.68725,-73.97413
"250",21654,251225,48,2006-06-26,"BURGLARY",40.852102782,-73.894705225
"251",939757,755069,67,2007-06-08,"DANGEROUS DRUGS",40.642162976,-73.947670325
"252",39521,4179018,17,2014-02-21,"HARRASSMENT 2",40.75029,-73.98113
"253",885116,6709038,61,2019-06-14,"GRAND LARCENY",40.58828,-73.9493
"254",748999,1329982,34,2008-07-02,"BURGLARY",40.85641,-73.9292
"255",725116,6712528,7,2019-06-16,"PETIT LARCENY",40.71547,-73.9916
"256",732680,6549776,28,2019-02-02,"MISCELLANEOUS PENAL LAW",40.81,-73.94769
"257",750086,2357702,23,2010-07-01,"OFF. AGNST PUB ORD SENSBLTY &",40.79634,-73.9412
"258",189566,4116970,73,2014-01-01,"SEX CRIMES",40.67066,-73.91339
"259",928893,1651537,9,2009-02-13,"OFF. AGNST PUB ORD SENSBLTY &",40.73238,-73.99012
"260",353359,625651,23,2007-03-11,"PETIT LARCENY",40.789330946,-73.946315985
"261",763092,6228715,67,2018-06-04,"FORGERY",40.65655,-73.93191
"262",553035,5048048,46,2015-12-01,"VEHICLE AND TRAFFIC LAWS",40.84865,-73.91168
"263",93965,1521812,45,2008-11-07,"PETIT LARCENY",40.82591,-73.82133
"264",931625,3773852,62,2013-05-01,"ASSAULT 3 & RELATED OFFENSES",40.60959,-74.00383
"265",739811,3961896,25,2013-09-11,"CRIMINAL MISCHIEF & RELATED OF",40.81186,-73.9355
"266",577372,4287453,88,2014-05-13,"PETIT LARCENY",40.68297,-73.95931
"267",303118,1738335,90,2009-04-18,"BURGLARY",40.70776,-73.94666
"268",857120,4643308,47,2015-02-01,"PETIT LARCENY",40.8804,-73.86385
"269",678981,5228466,75,2016-04-22,"MISCELLANEOUS PENAL LAW",40.66861,-73.89503
"270",857495,188379,62,2006-05-15,"HARRASSMENT 2",40.620771016,-73.999781709
"271",295424,624564,75,2007-03-10,"CRIMINAL MISCHIEF & RELATED OF",40.669728687,-73.861471916
"272",904815,5452213,79,2016-10-04,"OFF. AGNST PUB ORD SENSBLTY &",40.68962,-73.96015
"273",145241,4214097,113,2014-03-20,"GRAND LARCENY",40.68371,-73.78164
"274",527599,407255,122,2006-10-07,"PETIT LARCENY",40.584256706,-74.168656624
"275",575152,3800805,71,2013-05-20,"OFF. AGNST PUB ORD SENSBLTY &",40.65962,-73.95868
"276",175694,1442800,76,2008-09-15,"OFFENSES AGAINST PUBLIC ADMINI",40.68355,-73.9885
"277",581888,6791477,24,2019-08-14,"HARRASSMENT 2",40.7944,-73.9752
